id,name,host_id,host_name,neighbourhood,postcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,availability_365
1459948,"Parking, garden and comfortable space",7825425,Sue,Redland,BS6 6WA,51.4720631,-2.611798996,Townhouse,Private room,2,1,1,1,55,2,171,15-10-2018,2.66,99,10,10,10,10,10,10,1,76
1487240,Lovely Dbl/bdrm- Central Location,4086056,Lilian,Hotwells & Harbourside,BS8 1EA,51.45226212,-2.60839111,Townhouse,Private room,2,1,1,1,40,1,212,15-11-2018,3.38,96,10,10,10,10,10,9,2,155
1509615,Amazing location centre of Bristol,7607380,Jerry & Jacqui,Hotwells & Harbourside,BS1 6UF,51.44786082,-2.602342255,House,Private room,2,2,1,1,44,1,403,16-11-2018,6.4,96,10,9,10,10,10,9,2,341
1524396,Woodburner - Sarah's double room.,360195,Sarah,Windmill Hill,BS3 4LJ,51.43993333,-2.591850682,Townhouse,Private room,1,1,1,1,27,2,130,15-10-2018,2.07,96,10,9,10,10,9,10,5,14
1536968,Blanket Box - Sarah's large Room,360195,Sarah,Windmill Hill,BS3 4LJ,51.44049326,-2.592200054,Townhouse,Private room,2,1,1,1,27,2,91,12-10-2018,2.26,96,10,10,10,10,10,10,5,40
1586814,"A quiet, modern studio apartment",7102048,Robert,Ashley,BS2,51.46087425,-2.586035158,Apartment,Entire home/apt,2,1,1,1,85,3,38,17-07-2018,0.6,93,10,10,10,10,10,9,9,357
1608917,Double bedroom in Bristol,8568332,Lynn,Bishopsworth,BS13 7JR,51.41606194,-2.618383434,Bed and breakfast,Private room,2,1,1,1,22,5,0,,,,,,,,,,1,0
1623879,Homestay - Single Room in Bristol,8635028,John,Henbury & Brentry,BS10 6SY,51.5125545,-2.600119109,House,Private room,1,1,1,1,22,2,103,15-11-2018,1.64,99,10,10,10,10,9,10,1,359
1657861,"A private, quiet studio apartment",7102048,Robert,Ashley,BS2,51.46111808,-2.583324637,Apartment,Entire home/apt,2,1,,1,80,3,40,25-09-2017,0.64,88,10,9,10,10,9,9,9,332
1772967, Private and peaceful Room ,4176180,Kai,Lockleaze,BS7 0NU,51.49724773,-2.571188565,House,Private room,2,1.5,1,1,35,1,29,23-09-2016,0.49,84,9,9,9,10,8,9,2,0
1773005,Spacious and peaceful private room,4176180,Kai,Lockleaze,BS7 0NU,51.49591232,-2.571778781,House,Private room,3,1.5,1,2,35,1,27,17-11-2018,0.53,79,9,8,10,9,8,7,2,51
1906645,Bright and airy flat with great location,9487977,Abi,Cotham,BS6 6AY,51.4666893,-2.596842045,Apartment,Entire home/apt,2,1,1,1,70,2,26,28-10-2018,0.94,98,10,10,10,10,10,10,2,0
2006472,Large Double Room Close to Centre,10328734,Patrick,Southville,BS3 1PT,51.44483375,-2.604352766,House,Private room,2,1,1,1,31,1,173,11-11-2018,2.94,92,10,9,10,10,9,9,1,64
2009295,Light/Airy room in victorian house!,10340790,Nadim,Cotham,BS67EX,51.46999216,-2.605491483,Apartment,Private room,2,1,1,1,26,1,165,05-11-2018,2.86,98,10,10,10,10,10,10,1,162
2028961,Single room in quiet LGBTQ friendly home,5332833,Ashley,Eastville,BS16 1AX,51.48288666,-2.554519568,House,Private room,1,3,1,1,26,2,65,19-09-2018,1.11,97,10,10,10,10,9,10,2,52
2037637,Boutique style room in Clifton Village,10454199,Mary,Clifton,BS8 4BG,51.45426113,-2.622954009,Apartment,Private room,2,1,1,1,75,1,67,11-11-2018,1.13,95,9,10,10,10,10,9,3,248
2164660,Lovely light attic room,5905890,Stella,Easton,BS5 6JZ,51.46987799,-2.563364313,House,Private room,2,1,1,1,30,1,137,31-10-2018,2.48,96,10,10,10,10,9,9,2,156
2225509,Stokes Croft Crash Pad,10310486,Simon,Ashley,BS2,51.46301825,-2.586199021,Apartment,Private room,2,1,1,1,54,1,144,11-11-2018,2.46,95,10,9,10,10,9,9,1,353
2235568,A Cool Place in Montpelier !,11413122,Tony,Ashley,BS6 5EN,51.4684105,-2.587983013,House,Private room,2,1,1,1,37,2,201,28-10-2018,3.54,97,10,9,10,10,10,10,3,136
2403979,Entire house near city centre,12286397,Bryony,Ashley,BS2 9QZ,51.47019868,-2.575788755,House,Entire home/apt,4,1,2,2,120,2,8,06-04-2015,0.14,98,10,9,10,10,9,10,1,0
2404407,Stunning 2 Bed “New York” style Loft at Paintworks,11141720,Dee,Lawrence Hill,,51.44402776,-2.568637144,Loft,Entire home/apt,5,1,2,2,155,1,59,20-07-2018,1.04,98,10,10,10,10,10,9,7,299
2446524,A home away from home!,12510269,Namrata,Clifton,BS8 3LH,51.46096827,-2.623443177,Apartment,Private room,2,1,1,,45,1,16,20-07-2018,1.12,86,9,8,10,10,10,9,2,289
2485932,"Spacious, Light Room in Montpelier",12713908,James,Ashley,BS6 5QL,51.46748993,-2.588665535,Apartment,Private room,2,1,1,1,25,1,141,11-11-2018,3.05,95,10,9,10,10,10,9,1,0
2523293,A stay in a home from home! ,12510269,Namrata,Clifton,BS8 3LH,51.46097611,-2.624045775,Apartment,Private room,1,1,1,1,32,1,72,11-11-2018,1.32,95,9,9,10,10,10,9,2,363
2548956,"Huge, bright, spacious double room",13019736,Jody,Southmead,BS10,51.50371985,-2.590136864,House,Private room,2,1,1,1,28,1,161,04-11-2018,7.51,97,10,10,10,10,9,10,2,64
2636847, 2 double bed flat centre bristol!,7484271,Sammi,Hotwells & Harbourside,BS1 5QH,51.45050787,-2.604343596,Apartment,Entire home/apt,4,2,2,2,140,1,12,30-11-2014,0.22,96,9,9,9,10,10,10,2,0
2681672,Light and cosy double - ensuite,10742048,Delia And Huw,Westbury-on-Trym & Henleaze,BS9 4TD,51.48757081,-2.593290133,House,Private room,2,1,1,1,40,2,97,03-08-2018,1.78,99,10,10,10,10,10,10,1,0
2780689,"Comfortable, light single room",5905890,Stella,Easton,BS5 6JZ,51.47065699,-2.563569073,House,Private room,1,1,1,1,24,1,207,28-10-2018,3.75,96,10,10,10,10,9,10,2,75
2793019,Cute Quirky Flat in Prime Location,13804437,Kathleen,Ashley,BS6 5NE,51.46545163,-2.583289669,Apartment,Entire home/apt,2,1,1,1,45,2,45,31-07-2018,0.83,95,10,9,9,10,9,9,1,160
2819807,Small bright room in Clifton,14425470,Nuccia,Clifton,BS8 3JU,51.45851244,-2.623205327,Apartment,Private room,1,1,1,1,25,2,215,11-11-2018,3.94,96,10,10,10,10,10,10,1,59
3015870,Cosy and comfy double room.,15369567,Mary,Easton,BS5,51.46169146,-2.55539267,House,Private room,2,1,1,1,20,1,70,17-08-2018,6.33,98,10,10,10,10,9,10,1,0
3110479,Charming 1 Bed Flat in Clifton ★ Opposite Lido Spa,13642514,Dani,Clifton Down,BS8 2BQ,51.46102654,-2.614616912,Apartment,Entire home/apt,2,1,1,1,100,2,81,11-11-2018,1.52,98,10,10,10,10,10,10,1,169
3118604,Quiet Modern Flat 5 mins from Temple Meads,15845284,Sam,Lawrence Hill,BS2 0JN,51.45220702,-2.578689794,Apartment,Entire home/apt,2,1,1,1,75,1,198,24-10-2018,4.63,96,10,10,10,10,10,10,1,353
3127289,Two double bedrooms - sunny h,15485474,Fran,Redland,BS7 8LG,51.47999009,-2.595753456,Townhouse,Entire home/apt,5,2,2,2,85,2,76,04-11-2018,1.4,98,10,10,10,10,10,10,1,226
3171080,The Spare Room,3039024,Alice,Ashley,BS2 9LG,51.46442484,-2.580977159,House,Private room,1,1,1,1,30,14,1,27-07-2015,0.02,,,,,,,,1,32
3254527,Comfortable Bright Single Room  ,16459934,Florence,Lockleaze,BS7 0LB,51.4944094,-2.573079507,Townhouse,Private room,1,1,1,1,20,1,104,21-09-2018,2.02,88,9,9,9,10,9,9,3,0
3311296,Georgian House in Montpelier,8729841,Zoé,Ashley,BS6 5EP,51.46877077,-2.58592361,House,Entire home/apt,5,1.5,3,3,100,2,13,20-05-2018,0.25,97,10,10,10,10,9,9,2,0
3365141,Quiet + large ensuite double room,7588995,Olivia,Ashley,BS6 5JP,51.46816047,-2.582435998,House,Private room,2,1,1,1,40,1,278,01-11-2018,5.18,92,10,10,10,10,9,9,2,359
3402765,Lovely Georgian Terraced House ,16271311,Bryony,Hotwells & Harbourside,BS8 4TF,51.44940393,-2.612586301,House,Entire home/apt,4,2,3,3,140,7,2,30-08-2014,0.04,100,10,10,10,10,10,10,1,0
3407749,Private room en-suite- Very Large Room,16196736,Lorna,Ashley,BS7 9BQ,51.473698,-2.579328908,Bed and breakfast,Private room,2,2,1,1,50,2,86,25-02-2018,1.61,96,10,10,10,10,9,10,2,0
3457246,lovely single room in quiet house,17422981,Kath,Stockwood,BS14,51.41164155,-2.556714495,House,Private room,1,0.5,1,1,18,7,21,30-09-2018,0.4,90,10,10,10,9,8,9,1,321
3468287,Double-bedroom to rent near city centre,17474076,Monica,Lawrence Hill,BS5 0RS,51.46052242,-2.566261545,House,Private room,1,1,1,1,28,2,40,10-10-2018,1.02,96,10,10,10,10,9,10,2,330
3490531,Modern Clifton Town House,650181,Jeremy,Clifton Down,BS8,51.46691739,-2.608535186,House,Private room,2,1,1,1,45,2,10,12-03-2015,0.19,87,9,10,9,9,10,9,1,360
3490779,"Super Convenient, All You Need: Large Double Room",487598,Maggie,Easton,BS5 6EZ,51.46796443,-2.560876045,Townhouse,Private room,2,1.5,1,1,32,1,195,01-11-2018,3.67,97,10,10,10,10,9,10,4,44
3545386,Large terraced apartment in the heart of Clifton,3949983,Jo And Andrew,Clifton,BS8 4LB,51.4522639,-2.624835813,Apartment,Entire home/apt,6,2,3,3,350,2,14,22-10-2018,0.72,99,10,9,10,10,10,10,1,271
3560608,Private haven w bathroom & parking,17925448,Sophie,Bishopston & Ashley Down,BS2 9YJ,51.47518739,-2.577797411,Bed and breakfast,Private room,2,2,1,1,40,2,49,09-08-2016,0.93,95,10,10,10,10,9,9,2,289
3598755,Large Sunny Bedroom in Victorian Town House,12730318,Melanie,Frome Vale,BS16 2HH,51.48355164,-2.526814802,Townhouse,Private room,1,1,0,1,30,1,9,15-11-2018,0.17,95,10,10,10,10,10,9,1,88
3609645,Quirky but Comfortable Attic Room,4341765,Patricia,St George Central,BS5 8HY,51.45948172,-2.540538156,Bed and breakfast,Private room,2,1.5,1,1,23,2,65,28-08-2018,1.28,96,10,10,10,10,9,10,4,288
3620755,Lovely flat in central Bristol,18241415,Joseph,Hotwells & Harbourside,BS1 5XJ,51.45291562,-2.604460281,Apartment,Entire home/apt,2,1,1,1,73,2,290,12-11-2018,5.55,98,10,10,10,10,10,10,1,327
3635586,"Bright and airy 1-bed flat, nr Clifton & BBC",18332468,Zanna,Clifton Down,BS6 6LG,51.46653147,-2.610315313,Apartment,Entire home/apt,2,1,1,1,80,4,55,09-11-2018,1.08,96,9,10,10,10,10,9,1,256
3639418,Stylish Clifton Village flat in Georgian townhouse,10454199,Mary,Clifton,BS8 4BG,51.45340965,-2.623261025,Apartment,Entire home/apt,4,2,2,2,130,2,41,30-09-2018,0.8,98,10,9,10,10,10,9,3,72
3753997,"DOUBLE BED , PARKING OUTSIDE THE GATES, NEAR BUSES",2712754,Anna,Eastville,bs57tt,51.46737266,-2.533029824,Apartment,Private room,2,1,1,1,32,1,49,27-11-2016,0.94,97,10,10,10,10,9,9,1,0
3766960,Spacious Modern Victorian House with parking,19298185,Roz,Brislington West,BS4 3LE,51.43647063,-2.556779419,House,Entire home/apt,8,2.5,4,4,160,3,31,15-10-2018,0.83,96,10,9,10,10,9,10,2,342
3788534,"Light, airy single room. 10mins walk from Centre.",19228735,Jude,Southville,BS3 1PU,51.44525493,-2.605231184,Bed and breakfast,Private room,1,1,1,1,30,2,108,11-11-2018,2.15,99,10,10,10,10,9,10,1,270
3817330,Large comfortable room in Redland,8259097,Ana,Redland,BS6 6XB,51.47257912,-2.614123986,Bed and breakfast,Private room,2,1,1,1,45,2,58,24-09-2018,1.14,95,10,10,10,10,10,9,2,312
3855299,"Characterful, light & spacious home",13625482,Celia,Windmill Hill,BS3 4QF,51.43989107,-2.58845523,House,Entire home/apt,5,2.5,3,3,120,7,1,30-08-2015,0.03,80,6,6,8,8,8,8,3,0
3856453,Relaxing 2 bed. aptment. in Bristol,8259097,Ana,Redland,BS6 6XB,51.47287753,-2.614260747,Apartment,Entire home/apt,4,1,2,2,110,5,12,14-08-2017,0.24,96,10,10,10,10,10,10,2,58
3879902,Tranquil City Centre Double Room,5687726,Joanne,Lawrence Hill,BS2 9LJ,51.46305767,-2.57795592,Hostel,Private room,2,1.5,1,1,41,1,111,28-10-2018,2.14,99,10,10,10,10,9,10,2,355
3896013,"City Centre Room, Bathroom, Parking",19817019,Benjamin,Central,England,51.45943996,-2.591618149,t,Private room,Private room,2,1,1,45,2,144,30-08-2018,2.8,30-08-2018,96,10,9,10,10,10,1,43
3905155,Beautiful well located garden flat,20209876,Tessa,Redland,BS6 7EX,51.47033751,-2.60391887,Apartment,Entire home/apt,2,1,1,1,50,3,1,21-09-2014,0.02,100,8,10,10,10,10,10,1,0
3906876,Luxury Harbour Side Apartment ,20235167,Robert,Hotwells & Harbourside,BS8 4SX,51.44922797,-2.609083662,Apartment,Entire home/apt,4,2.5,2,2,225,2,27,18-07-2017,0.55,92,9,10,10,10,10,8,1,363
3956451,Stylish flat In Clifton Village,8949750,Sarah,Clifton,BS8 1LJ,51.45589281,-2.613090026,Apartment,Entire home/apt,2,1,1,1,86,4,295,14-11-2018,5.82,99,10,10,10,10,10,10,1,73
3960179,FABULOUS!!!,20522861,Peter,Avonmouth & Lawrence Weston,BS9,51.49699252,-2.646597132,House,Entire home/apt,5,1.5,3,5,135,3,1,27-04-2016,0.03,,,,,,,,2,180
3965484,"Bright, comfy, kingsize en-suite w/breakfast",2323987,Jess And Rory,Knowle,BS4 2LB,51.43463783,-2.566842742,House,Private room,2,1,1,1,40,1,227,14-10-2018,4.45,97,10,10,10,10,9,10,2,0
3975847,"Victorian house, cosy, quiet  room with double bed",20605126,Val,Clifton Down,,51.47077258,-2.611891081,House,Private room,2,1,1,1,40,1,54,11-11-2018,2.27,97,10,10,10,10,10,10,1,70
4086139,"Beautiful room and bathroom, central location",21194896,Sue,Cotham,BS6 5TZ,51.46225277,-2.598041664,Townhouse,Private room,2,1,1,1,50,1,477,14-11-2018,9.37,98,10,10,10,10,10,10,1,133
4187894,Single room for stopovers,4411092,Michele,Frome Vale,BS16 4AU,51.48129323,-2.52203141,Townhouse,Private room,1,1,1,1,24,1,57,07-11-2018,1.82,97,10,10,10,10,10,10,1,87
4207614,Room in modern flat near centre,7529286,Jen,Southville,BS3 4EB,51.44538259,-2.592758002,Apartment,Private room,2,1,1,1,37,2,131,28-10-2018,3.96,97,10,10,10,10,9,10,1,79
4230032,Quiet Comfortable Single Room,16459934,Florence,Lockleaze,BS7 0LB,51.49379298,-2.573333238,Townhouse,Private room,1,1,1,1,22,1,123,15-11-2018,2.47,86,9,9,9,9,9,9,3,183
4294704,LOVELY LARGE ATTIC ROOM WITH A VIEW,21456804,Sara,Southville,BS3 1PD,51.44204713,-2.605810284,House,Private room,2,2,1,1,30,1,175,14-09-2018,3.53,95,10,10,10,10,9,10,1,139
